-59.00 -58.00   1.7
-58.00 -58.00   1.5
-57.00 -58.00   1.5
-56.00 -58.00   1.3
-55.00 -58.00   1.6
-54.00 -58.00   1.8
-53.00 -58.00   2.0
-52.00 -58.00   1.9
-51.00 -58.00   1.7
-50.00 -58.00   1.3
-49.00 -58.00   1.2
-48.00 -58.00   1.1
-47.00 -58.00   1.2
-46.00 -58.00   1.2
-45.00 -58.00   1.2
-44.00 -58.00   1.2
-43.00 -58.00   1.2
-42.00 -58.00   1.2
-41.00 -58.00   1.1
-40.00 -58.00   1.0
-39.00 -58.00   1.0
-38.00 -58.00   1.1
-37.00 -58.00   1.2
-36.00 -58.00   1.3
-35.00 -58.00   1.4
-34.00 -58.00   1.6
-33.00 -58.00   1.6
-32.00 -58.00   1.6
-31.00 -58.00   1.5
-30.00 -58.00   1.4
-29.00 -58.00   1.4
-28.00 -58.00   1.4
-27.00 -58.00   1.3
-26.00 -58.00   1.2
-25.00 -58.00   1.1
-24.00 -58.00   1.1
-23.00 -58.00   1.2
-22.00 -58.00   1.2
-21.00 -58.00   1.2
-20.00 -58.00   1.2
-99.00 -57.00   0.2
-98.00 -57.00   0.2
-97.00 -57.00   0.2
-96.00 -57.00   0.3
-95.00 -57.00   0.3
-94.00 -57.00   0.3
-93.00 -57.00   0.4
-92.00 -57.00   0.4
-91.00 -57.00   0.4
-90.00 -57.00   0.5
-89.00 -57.00   0.5
-88.00 -57.00   0.6
-87.00 -57.00   0.6
-86.00 -57.00   0.6
-85.00 -57.00   0.7
-84.00 -57.00   0.8
-83.00 -57.00   1.0
-82.00 -57.00   1.1
-81.00 -57.00   1.3
-80.00 -57.00   1.5
-79.00 -57.00   1.6
-78.00 -57.00   1.8
-77.00 -57.00   1.9
-76.00 -57.00   1.6
-75.00 -57.00   1.5
-74.00 -57.00   1.5
-73.00 -57.00   1.6
-72.00 -57.00   1.5
-71.00 -57.00   1.5
-70.00 -57.00   1.2
-69.00 -57.00   1.3
-68.00 -57.00   1.6
-67.00 -57.00   1.6
-66.00 -57.00   1.6
-65.00 -57.00   1.6
-64.00 -57.00   1.6
-63.00 -57.00   1.5
-62.00 -57.00   1.6
-61.00 -57.00   1.7
-60.00 -57.00   1.7
-59.00 -57.00   1.4
-58.00 -57.00   1.3
-57.00 -57.00   1.2
-56.00 -57.00   1.2
-55.00 -57.00   1.2
-54.00 -57.00   1.2
-53.00 -57.00   1.4
-52.00 -57.00   1.4
-51.00 -57.00   1.3
-50.00 -57.00   1.4
-49.00 -57.00   1.6
-48.00 -57.00   1.6
-47.00 -57.00   1.3
-46.00 -57.00   1.1
-45.00 -57.00   1.1
-44.00 -57.00   1.1
-43.00 -57.00   1.0
-42.00 -57.00   1.0
-41.00 -57.00   1.1
-40.00 -57.00   1.2
-39.00 -57.00   1.3
-38.00 -57.00   1.4
-37.00 -57.00   1.6
-36.00 -57.00   1.6
-35.00 -57.00   1.6
-34.00 -57.00   1.6
-33.00 -57.00   1.5
-32.00 -57.00   1.4
-31.00 -57.00   1.4
-30.00 -57.00   1.3
-29.00 -57.00   1.3
-28.00 -57.00   1.3
-27.00 -57.00   1.2
-26.00 -57.00   1.2
-25.00 -57.00   1.2
-24.00 -57.00   1.3
-23.00 -57.00   1.4
-22.00 -57.00   1.3
-21.00 -57.00   1.3
-20.00 -57.00   1.3
-99.00 -56.00   0.3
-98.00 -56.00   0.2
-97.00 -56.00   0.3
-96.00 -56.00   0.3
-95.00 -56.00   0.4
-94.00 -56.00   0.4
-93.00 -56.00   0.4
-92.00 -56.00   0.4
-91.00 -56.00   0.4
-90.00 -56.00   0.4
-89.00 -56.00   0.4
-88.00 -56.00   0.5
-87.00 -56.00   0.6
-86.00 -56.00   0.7
-85.00 -56.00   0.7
-84.00 -56.00   0.8
-83.00 -56.00   1.0
-82.00 -56.00   1.1
-81.00 -56.00   1.3
-80.00 -56.00   1.4
-79.00 -56.00   1.5
-78.00 -56.00   1.6
-77.00 -56.00   1.6
-76.00 -56.00   1.5
-75.00 -56.00   1.5
-74.00 -56.00   1.8
-73.00 -56.00   1.7
-72.00 -56.00   1.2
-71.00 -56.00   1.5
-70.00 -56.00   2.2
-69.00 -56.00   2.5
-68.00 -56.00   2.7
-67.00 -56.00   2.2
-66.00 -56.00   1.8
-65.00 -56.00   1.5
-64.00 -56.00   1.9
-63.00 -56.00   2.0
-62.00 -56.00   1.4
-61.00 -56.00   1.3
-60.00 -56.00   1.2
-59.00 -56.00   1.1
-58.00 -56.00   1.4
-57.00 -56.00   1.5
-56.00 -56.00   1.5
-55.00 -56.00   1.3
-54.00 -56.00   1.1
-53.00 -56.00   1.1
-52.00 -56.00   1.2
-51.00 -56.00   1.2
-50.00 -56.00   1.4
-49.00 -56.00   1.5
-48.00 -56.00   1.6
-47.00 -56.00   1.6
-46.00 -56.00   1.6
-45.00 -56.00   1.6
